uri,name,valence,energy,speechiness,acousticness,instrumentalness,
spotify:track:6X5x6uOKio6vBiHyptfkGV,Unexplainable,0.305,0.422,0.441,0.0721,0,
spotify:track:7EA6cdI785gnFW172RqsYk,Young (feat. Kb),0.697,0.631,0.279,0.00579,0,
spotify:track:7r5bS08R8d0jZuDZutVeHQ,Gimme! Gimme! Gimme! (A Man After Midnight),0.53,0.495,0.0402,0.0162,0.00825,
spotify:track:0FVduJ39BK7T80wq617H0R,Play My Music,0.795,0.876,0.0937,0.00076,0,
spotify:track:1GxzrZ3YuqahpD1P539D30,No Vuelvo Amar,0.796,0.639,0.0556,0.289,0.00306,
spotify:track:1x9ahz0ALGHgbN9wwDjmre,Here Comes the Sun,0.648,0.37,0.0378,0.721,1.64E-05,
spotify:track:0BsqL3ngsjFFAxLZWjuXiz,I'm Goin' Home,0.815,0.741,0.0321,0.0157,0.000101,
spotify:track:5lByoyTJti3jYo22bLQKOH,Burnin,0.555,0.997,0.0483,0.00205,0.672,
spotify:track:0cAHXlLhQjSKDN6vjc4LD6,The Fall,0.183,0.688,0.0549,0.248,0.000261,
spotify:track:5O1BXc76aM8St6WNSaozoK,I'm Back,0.702,0.789,0.0408,0.00712,0.754,
spotify:track:0FXkDghtNzvWLoB92pYMDF,Double Tap (feat. 2 Chainz),0.659,0.584,0.291,0.0556,1.35E-05,
spotify:track:16pUlUFjyp6BtDtxC0i9ch,On An Evening In Roma (Sott'er Celo De Roma) - Remastered,0.753,0.117,0.0427,0.866,0,
spotify:track:0Hu4zltKGbVaaUMDbodvxr,Ties,0.673,0.732,0.0391,0.208,2.18E-06,
spotify:track:3Vs5Ez1aRlNVorMwGuaPL1,Mr. Loverman (feat. Chevelle Franklin),0.669,0.653,0.159,0.0118,5.77E-05,
spotify:track:0OuWBW2Q299zvZCdLUPlLx,Jolie Coquine,0.588,0.935,0.373,0.00734,2.10E-06,
spotify:track:2a0EiKPY8buC8eW8Awh4Sg,Ping Pong - Hardwell Radio Edit,0.0748,0.985,0.0749,0.00377,0.142,
spotify:track:6izVIjBEgHAu1V43wN2Olw,Open Heart (feat. Lissie) - Tropical Remix,0.36,0.804,0.0619,0.00314,0.00693,
spotify:track:5NUvj4WX2tAQGxOF4CWJ7I,Real Life,0.774,0.749,0.0257,0.00195,0,
spotify:track:6fH8uTLBa5IbexYE5ntNgm,Home Grown Country Folk,0.754,0.875,0.0767,0.00149,1.16E-06,
spotify:track:3cD2ynsSFxzAaDSYoH0nC1,Yellow,0.259,0.629,0.0855,0.0339,0,
spotify:track:47K0lbxqZlW1Z6DAmdz0gO,If You Don't% Don't,0.34,0.872,0.0459,0.000318,0,
spotify:track:00Vt94yrFxtcWiSG8BVxrw,A Little Bit More,0.817,0.83,0.118,0.0223,0,
spotify:track:14cutlRD7NcSMmmDyIkwLa,The Storm,0.276,0.781,0.0354,0.00982,5.49E-05,
spotify:track:6oH2ubEi0Ro3QEdTV3jYFR,Hymn of Nature (All Creatures Of Our God And King),0.107,0.0697,0.0446,0.99,0.909,
spotify:track:1Kef862HDQdZQaXpxNtHuv,Shawty Get Loose (feat. Chris Brown & T-Pain),0.619,0.724,0.246,0.165,0,
